start_date;end_date;status;progress;duration_in_seconds;finished;recorded_date;responseid;distribution_channel;site;consent_y_n;consent_y_n_do;q110;q110_do;mental;mental_do;meditation_exp;meditation_exp_do;first_language;eng_level;eng_level_do;ipip1;ipip2;ipip3;ipip4;ipip5;ipip6;ipip7;ipip8;ipip9;ipip10;ipip11;ipip12;ipip13;ipip14;ipip15;ipip16;ipip17;ipip18;ipip19;ipip20;lock14b_first_click;lock14b_last_click;lock14b_page_submit;lock14b_click_count;lock14d_first_click;lock14d_last_click;lock14d_page_submit;lock14d_click_count;lock14f_first_click;lock14f_last_click;lock14f_page_submit;lock14f_click_count;lock14h_first_click;lock14h_last_click;lock14h_page_submit;lock14h_click_count;q133_first_click;q133_last_click;q133_page_submit;q133_click_count;q123_first_click;q123_last_click;q123_page_submit;q123_click_count;q126_first_click;q126_last_click;q126_page_submit;q126_click_count;q129_first_click;q129_last_click;q129_page_submit;q129_click_count;stai1;stai2;stai3;stai4;stai5;stai6;stai7;stai8;stai9;stai10;stai11;stai12;stai13;stai14;stai15;stai16;stai17;stai18;stai19;stai20;sam1;sam2;sam3;age;gender;gender_5_text;gender_do;country_birth;country_live;student;student_do;univ;job;group;story;moderator_neuroticism_do;d_vs_do
2022-03-15T08:36:52Z;2022-03-15T08:37:16Z;0;  9;     24;0;2022-03-22T08:37:18Z;R_3nu7XT55yiAZNDH;anonymous;wurz; 1;2|1; 2;1|2; 4;1|4; 2;1|2;NA; 1;5|3|1|2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-03-15T16:27:28Z;2022-03-15T16:35:41Z;0; 10;    492;0;2022-03-22T16:35:44Z;R_2pJoVziEEdLF04L;anonymous;aust; 1;2|1; 1;2|1; 4;1|4; 2;2|1;TEST SURVEY; 3;1|5|3|2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NeuroticismIntro|Ipip9|Ipip17|Ipip2|Ipip13|Ipip4|Ipip18|Ipip12|Ipip10|Ipip8|Ipip3|Ipip14|Ipip11|Ipip1|Ipip20|Ipip6|Ipip5|Ipip15|Ipip19|Ipip7|Ipip16;NA
2022-03-22T17:22:55Z;2022-03-22T17:50:35Z;0;100;   1659;1;2022-03-22T17:50:35Z;R_RfODU2Z0XmNaM3T;anonymous;quee; 1;1|2; 1;1|2; 4;1|4; 2;2|1;English; 3;5|2|1|3; 3; 4; 3; 3; 5; 4; 4; 5; 4; 5; 3; 2; 3; 2; 2; 2; 3; 3; 3; 3;NA;NA;NA;NA;   2,415;  46,834; 947,579;  4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 2; 2; 3; 3; 2; 3; 4; 2; 1; 2; 2; 4; 3; 4; 2; 2; 4; 1; 2; 2; 5; 3; 3;18; 2;NA;1|5|2|4|3|6;Australia;Australia; 2;1|2;uq;NA;Condition2:Mindfulbreathing;NA;NeuroticismIntro|Ipip18|Ipip9|Ipip16|Ipip17|Ipip15|Ipip19|Ipip4|Ipip8|Ipip2|Ipip10|Ipip5|Ipip1|Ipip3|Ipip6|Ipip7|Ipip14|Ipip20|Ipip12|Ipip13|Ipip11;StressIntro|Stai18|Stai8|Stai2|Stai9|Stai3|Stai17|Stai10|Stai7|Stai19|Stai4|Stai13|Stai6|Stai11|Stai5|Stai14|Stai12|Stai15|Stai20|Stai1|Stai16
2022-03-22T17:36:42Z;2022-03-22T18:11:17Z;0;100;   2074;1;2022-03-22T18:11:18Z;R_1MWmw1PL5un03D7;anonymous;loyo; 1;1|2; 1;1|2; 4;4|1; 2;2|1;English; 3;3|2|5|1; 3; 3; 3; 3; 4; 3; 3; 3; 4; 4; 3; 3; 3; 2; 3; 3; 3; 3; 3; 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 0; 0;1,117; 0; 955,160; 955,160; 956,168; 1;NA;NA;NA;NA;NA;NA;NA;NA; 2; 2; 2; 2; 2; 2; 1; 2; 2; 2; 2; 2; 2; 1; 2; 3; 2; 2; 1; 2; 5; 5; 5;999; 2;NA;2|6|3|1|4|5;US;US; 2;2|1;lmu;NA;Condition5:Bookchapter;Condition5a:Silverview;NeuroticismIntro|Ipip5|Ipip18|Ipip9|Ipip14|Ipip10|Ipip16|Ipip2|Ipip4|Ipip8|Ipip13|Ipip17|Ipip3|Ipip11|Ipip12|Ipip1|Ipip7|Ipip15|Ipip20|Ipip6|Ipip19;StressIntro|Stai18|Stai1|Stai15|Stai12|Stai19|Stai7|Stai14|Stai11|Stai4|Stai17|Stai2|Stai16|Stai6|Stai3|Stai20|Stai13|Stai10|Stai5|Stai8|Stai9
2022-03-22T17:32:35Z;2022-03-22T18:13:18Z;0;100;   2442;1;2022-03-22T18:13:18Z;R_2zAUn0ckzeCKhKW;anonymous;indi; 1;2|1; 2;2|1; 4;1|4; 2;2|1;english; 3;1|5|2|3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-03-22T18:11:55Z;2022-03-22T18:39:42Z;0;100;   1667;1;2022-03-22T18:39:42Z;R_wTs4piJ36H9AF33;anonymous;loyo; 1;1|2; 1;1|2; 4;1|4; 2;1|2;English; 3;1|3|2|5; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3;   1,624; 937,587; 938,158; 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 3; 2; 2; 2; 2; 2; 5; 4; 4;999; 2;NA;3|2|5|1|6|4;Usa;Usa; 2;2|1;lmu;NA;condition1mindfulwalking;NA;NeuroticismIntro|Ipip4|Ipip20|Ipip3|Ipip12|Ipip10|Ipip7|Ipip9|Ipip11|Ipip5|Ipip15|Ipip17|Ipip8|Ipip19|Ipip14|Ipip6|Ipip2|Ipip18|Ipip16|Ipip1|Ipip13;StressIntro|Stai10|Stai17|Stai19|Stai3|Stai20|Stai16|Stai7|Stai1|Stai12|Stai6|Stai18|Stai11|Stai14|Stai9|Stai5|Stai15|Stai4|Stai13|Stai2|Stai8
2022-03-22T18:26:51Z;2022-03-22T18:47:25Z;0;100;   1233;1;2022-03-22T18:47:25Z;R_cCODUT3pUBZtP7H;anonymous;quee; 1;2|1; 1;1|2; 4;1|4; 2;2|1;English; 3;3|5|1|2; 3; 3; 2; 4; 4; 4; 2; 4; 2; 4; 3; 4; 4; 3; 3; 3; 3; 3; 3; 4;NA;NA;NA;NA;   1,442; 714,000; 841,670;  4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 4; 3; 1; 1; 4; 1; 1; 3; 1; 3; 3; 1; 1; 2; 4; 3; 2; 1; 4; 3; 7; 5; 6;18; 2;NA;4|1|2|6|3|5;Australia;Australia; 2;2|1;universityofqueenslans;NA;Condition2:Mindfulbreathing;NA;NeuroticismIntro|Ipip13|Ipip2|Ipip9|Ipip15|Ipip14|Ipip4|Ipip16|Ipip3|Ipip7|Ipip10|Ipip5|Ipip17|Ipip11|Ipip18|Ipip12|Ipip1|Ipip19|Ipip6|Ipip8|Ipip20;StressIntro|Stai14|Stai8|Stai15|Stai3|Stai7|Stai20|Stai19|Stai4|Stai5|Stai13|Stai2|Stai6|Stai9|Stai12|Stai17|Stai11|Stai10|Stai1|Stai16|Stai18
2022-03-22T18:25:35Z;2022-03-22T18:49:54Z;0;100;   1458;1;2022-03-22T18:49:54Z;R_Zei3resrjM48EDv;anonymous;quee; 1;1|2; 1;2|1; 4;1|4; 2;2|1;English; 3;3|5|1|2; 4; 3; 4; 4; 5; 5; 4; 5; 5; 5; 2; 2; 2; 1; 2; 2; 4; 1; 4; 2;NA;NA;NA;NA;NA;NA;NA;NA; 213,210; 900,218; 901,966;  3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 4; 3; 2; 1; 3; 1; 1; 4; 1; 2; 1; 2; 2; 1; 3; 4; 1; 1; 4; 4; 7; 2; 6;18; 2;NA;3|1|5|4|2|6;Australia;Australia; 2;2|1;universityofqueensland;NA;Condition3:Loving-kindness;NA;NeuroticismIntro|Ipip20|Ipip4|Ipip2|Ipip14|Ipip15|Ipip19|Ipip10|Ipip18|Ipip6|Ipip11|Ipip1|Ipip7|Ipip12|Ipip8|Ipip5|Ipip13|Ipip16|Ipip3|Ipip9|Ipip17;StressIntro|Stai20|Stai5|Stai8|Stai2|Stai10|Stai19|Stai11|Stai6|Stai7|Stai1|Stai15|Stai9|Stai12|Stai4|Stai16|Stai14|Stai18|Stai17|Stai3|Stai13
2022-03-22T18:40:05Z;2022-03-22T18:58:49Z;0;100;   1124;1;2022-03-22T18:58:50Z;R_TuN7xTMLA9zxh6N;anonymous;loyo; 1;1|2; 1;2|1; 4;4|1; 2;1|2;English; 3;2|5|3|1; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 2; 3; 3; 3; 3; 3; 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 973,553; 973,553; 974,090; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 4; 5; 4;999; 2;NA;1|6|4|3|2|5;Us;Us; 2;1|2;lmu;NA;Condition4:BodyScan;NA;NeuroticismIntro|Ipip17|Ipip5|Ipip7|Ipip10|Ipip12|Ipip8|Ipip1|Ipip20|Ipip4|Ipip13|Ipip16|Ipip15|Ipip14|Ipip19|Ipip11|Ipip3|Ipip18|Ipip6|Ipip2|Ipip9;StressIntro|Stai7|Stai4|Stai12|Stai13|Stai18|Stai11|Stai9|Stai5|Stai8|Stai3|Stai20|Stai10|Stai16|Stai19|Stai1|Stai2|Stai6|Stai15|Stai17|Stai14
2022-03-22T18:59:11Z;2022-03-22T19:18:11Z;0;100;   1139;1;2022-03-22T19:18:11Z;R_sMdFFBVyJocxGfL;anonymous;loyo; 1;2|1; 1;2|1; 4;4|1; 2;2|1;English; 3;2|1|3|5; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA; 0; 0;1,121; 0;NA;NA;NA;NA;NA;NA;NA;NA;913,799; 913,799; 914,647; 1; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 4; 4; 5;999; 2;NA;4|6|3|5|1|2;Us;Us; 2;2|1;lmu;NA;Condition5:Bookchapter;Condition5c:Smith;NeuroticismIntro|Ipip13|Ipip20|Ipip1|Ipip5|Ipip17|Ipip18|Ipip6|Ipip10|Ipip3|Ipip19|Ipip8|Ipip15|Ipip7|Ipip16|Ipip9|Ipip11|Ipip14|Ipip2|Ipip4|Ipip12;StressIntro|Stai18|Stai17|Stai8|Stai20|Stai2|Stai13|Stai4|Stai1|Stai9|Stai3|Stai11|Stai6|Stai15|Stai14|Stai12|Stai19|Stai7|Stai16|Stai10|Stai5
